date_time,accel_x,accel_y,accel_z,heart_rate
2019-11-24 18:50:57,-19.0,-54.0,14.0,93.28
2019-11-24 18:50:58,-26.0,-93.0,20.0,93.65
2019-11-24 18:50:59,-21.0,-38.0,14.0,94.05
2019-11-24 18:51:00,-16.0,-46.0,16.0,94.42
2019-11-24 18:51:01,-13.0,-48.0,16.0,94.52
2019-11-24 18:51:02,-19.0,-92.0,8.0,94.58
2019-11-24 18:51:03,-11.0,-87.0,2.0,94.67
2019-11-24 18:51:04,-25.0,-30.0,4.0,94.75
2019-11-24 18:51:05,-26.0,-101.0,15.0,94.82
2019-11-24 18:51:06,-22.0,-28.0,6.0,94.9
2019-11-24 18:51:07,-7.0,-49.0,16.0,94.88
2019-11-24 18:51:08,-21.0,-86.0,15.0,94.87
2019-11-24 18:51:09,-29.0,-89.0,16.0,94.85
2019-11-24 18:51:10,-14.0,-47.0,3.0,94.8
2019-11-24 18:51:11,-12.0,-46.0,5.0,94.73
2019-11-24 18:51:12,-35.0,-108.0,20.0,94.67
2019-11-24 18:51:13,-30.0,-46.0,3.0,94.6
2019-11-24 18:51:14,-7.0,-66.0,16.0,94.55
2019-11-24 18:51:15,-21.0,-32.0,12.0,94.53
2019-11-24 18:51:16,-19.0,-47.0,11.0,94.52
2019-11-24 18:51:17,-20.0,-64.0,9.0,94.53
2019-11-24 18:51:18,-22.0,-108.0,15.0,94.57
2019-11-24 18:51:19,-28.0,-93.0,10.0,94.63
2019-11-24 18:51:20,-17.0,-43.0,14.0,94.72
2019-11-24 18:51:21,-27.0,-39.0,8.0,94.82
2019-11-24 18:51:22,-16.0,-50.0,17.0,94.93
2019-11-24 18:51:23,-48.0,-101.0,44.0,95.08
2019-11-24 18:51:24,-41.0,-96.0,22.0,95.3
2019-11-24 18:51:25,-39.0,-115.0,20.0,95.5
2019-11-24 18:51:26,-51.0,-81.0,38.0,95.67
2019-11-24 18:51:27,-37.0,-63.0,32.0,95.88
2019-11-24 18:51:28,-40.0,-71.0,44.0,96.1
2019-11-24 18:51:29,-37.0,-72.0,48.0,96.33
2019-11-24 18:51:30,-33.0,-61.0,22.0,96.57
2019-11-24 18:51:31,-11.0,-30.0,7.0,96.87
2019-11-24 18:51:32,-10.0,-31.0,10.0,97.23
2019-11-24 18:51:33,-8.0,-31.0,8.0,97.58
2019-11-24 18:51:34,-12.0,-28.0,4.0,98.12
2019-11-24 18:51:35,-14.0,-32.0,7.0,98.6
2019-11-24 18:51:36,-17.0,-48.0,11.0,99.05
2019-11-24 18:51:37,-33.0,-96.0,7.0,99.57
2019-11-24 18:51:38,-24.0,-81.0,6.0,100.13
2019-11-24 18:51:39,-28.0,-39.0,5.0,100.88
